artist,credit_line,display_dimensions,geometry,medium,title,location
"Acconci, Saitowitz and Soloman",Commissioned by the San Francisco Art Commission for the Waterfront Project.,2 1/2 miles X 5 feet,"-122.4120591,37.8085303","Black concrete, with a strip of glass blocks, to be illuminated at night",Promenade Ribbon,
"Acconci, Vito",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"26 1/2"" H X 41"" W","-122.389979,37.615223",Etching on Paper,Two Wings for Wall and Person,
"Acconci, Vito",Commission for the San Francisco International Airport by the San Francisco Arts Commission,,"-122.389979,37.615223",mixed medium,Light Beams for the Sky of Transfer Cooridor,
"Adams, Gloria Cozzo",Purchased by the San Francisco Art Commission for the San Francisco International Airport,481/2,"-122.389979,37.615223",Acrylic and ink on canvas,Cityscape #33,
"Adams, Mark",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"84"" H X 144"" W","-122.389979,37.615223",Flat weave wool tapestry,Garden Outside the Gate (The Garden Tapestries),
"Adams, Mark",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"84"" H X 204"" W","-122.389979,37.615223",Flat weave wool tapestry,Garden in San Andreas Valley (The Garden Tapestries),
"Adams, Mark",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"84"" H X 96"" W","-122.389979,37.615223",Flat weave wool tapestry,Pond in Golden Gate Park (The Garden Tapestries),
"Aitken, Robert Ingersoll",Funds raised by public subscription.  Dedicated by President Theodore Roosevelt.,Figure: 12' H; Shaft: 83' H,"-122.4075,37.7880556",Bronze figure on granite base,"The Dewey Monument (Admiral George Dewey, 1837-1917)",
"Aitken, Robert Ingersoll",Commissioned in 1898 by the architect of the Music Concourse and Claus Spreckles.,20' H,"-122.4666711,37.7703537",Cast Concrete,Spandrels on Spreckles Temple of Music,
"Aitken, Robert Ingersoll",Funds raised by popular subscription,"bronze is 15' H, base is 72 3/4 X 72 3/4 ""","-122.454557,37.771665","Bronze, granite and marble",William McKinley,
"Aitken, Robert Ingersoll",Gift of the San Francisco Bar Association,7 1/2' H Figure; 7 1/2,"-122.4184094,37.7793133",Bronze,Hall McAllister (1829-1888),
"Alavi, Seyed",,,"-122.477977,37.78327",,Speaking Stones,
"Albro, Maxine",Commissioned for Coit Tower,10' X 42',"-122.4058194,37.8023686",Fresco,California,
"Alicia/Montoya, Juana/Emmanuel",Commissioned for San Francisco International Airport,,"-122.389979,37.615223",fresco buono and wood relief,Sanctuario,
"Anargyros, Spero",Gift,"97 X 30 X 27 1/2 ""","-122.4184094,37.7793133",Cast bronze,George Moscone,
"Anderson, Lois",Commissioned by the San Francisco Arts Commission for the SF Recreation and Park Department,"36 1/2"" H X 32"" W","-122.4390499,37.7474162","Tiles, glass, metal, buttons, jewelry on fiberglass wood",Outdoor Wall Mosaic,
Anonymous,Gift of the Beethoven Maenercher of New York to the city of San Francisco,,"-122.4666711,37.7703537",Bronze,Ludwig Van Beethoven (1770-1827),
Anonymous,"Gift of San Francisco's Sister City, Osaka Japan","88 X 60 X 34 ""","-122.4525624,37.7069424",granite with bronze plaque,Kanrin Maru Monument,
Anonymous,Gift to the city of San Francisco by Lotta Crabtree in 1875.,"24' H X 5'4"" W X 5'4"" L","-122.4034248,37.7876664",cast iron,Lotta's Fountain,
Anonymous,Gift of Mrs. William H. Crocker,,"-122.4122163,37.792033",Marble and bronze,Fountain of the Tortoises,
Anonymous,Gift to the People of San Francisco from the Japan Federation of Economic Organizations,,"-122.4701557,37.7701722",Stone,Untitled (Stone Lantern),
Anonymous,Gift of Gumps to the Japanese Tea Garden,10 1/2' H,"-122.4701557,37.7701722",Bronze,Amazarasti-no Hotoke (the Buddha that sits throughout the sunny and rainy weathe,
Anonymous,Gift of Henry D. Cogswell,approx. 15' H,"-122.4101513,37.8003423",Pot metal,Benjamin Franklin (1706-1790),
"Arcega, Michael",,,"-122.421886,37.7649169","Wood, steel",Mission Post,
"Arnautoff, Victor",,1600 square feet,"-122.491083,37.7774299",Fresco,The Life of George Washington,
"Arnautoff, Victor Mikhail",George Washington High School,4' X 6',"-122.491083,37.7774299",cast concrete,Edison (1847-1931) Washington (1732-1799) and Shakespeare (1564-1616),
"Arnautoff, Victor Mikhail",Public Works of Art Project (PWAP),10' X 36',"-122.4058194,37.8023686",Fresco,City Life,
"Arneson, Robert",,,"-122.3945938,37.7948985",,Yin Yang,
"Arnold, David",Commissioned for the Bayview Health Center,12' H X 8' W,"-122.4059739,37.7323428",Stained glass windows,Untitled,
"Asawa, Ruth",,,"-122.412595,37.783933",Glass fiber reinforced concrete,"Redding School, Self-Portrait",
"Asawa, Ruth",Commissioned by the Redevelopment Agency,,"-122.4312691,37.7853921",bronze,Origami Fountains,
"Asawa, Ruth",Purchased for the Japanese Tea Garden,"15"" H X 28"" W","-122.4701557,37.7701722",Bronze,Hagiwara Family Plaque,
"Aycock, Alice",Commissioned by the San Francisco Art Commission for the San Francisco Main Library,,"-122.415783,37.778864",Stainless steel,Cyclone Fragment,
"Aycock, Alice",Commissioned by the SF Art Commission for the San Francisco Main Library,,"-122.415783,37.778864",Stainless steel,Functional and Fantasy Stair,
"Barnes, Carroll",Purchased by the San Francisco Art Commission for the Muni Railway,9' H X 8' W X 19 'L ; 19' H X 3' diameter,"-122.44485,37.7229198",corten steel,Transverse and Column,"San Jose Ave
"
"Barr, Aileen",,,"-122.4650348,37.7419071",ceramic tile,Secret Garden,
"Barr, Aileen",,,"-122.4650348,37.7419071",hand-carved and glazed ceramic tiles,Secret Garden,
"Barr, Aileen",,,"-122.4650348,37.7419071",ceramic tile,Secret Garden,
"Barr, Aileen",,,"-122.4650348,37.7419071",ceramic tile,Secret Garden,
"Barr, Roger",Purchased by the San Francisco Art Commission for Pier 39,25' H X 20 W,"-122.411934,37.809079",Mirror finished stainless steel Type 316 L,Skygate,
"Barth, Anders",San Francisco Art Commission Public Art Project,,"-122.5018724,37.7792703",terracotta relief,Phoenix,
"Barth, Anders",Commissioned for the Tenderloin Police Station,"24' 4"" X 8' 2"" overall","-122.4129435,37.7837739",Hand cut ceramic tiles,First Person Plural,
"Bates, Diana Pompelly",,,"-122.4556651,37.7478586",Stainless steel ,Reflection,
"Beasley, Bruce",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,18' 6,"-122.389979,37.615223",Aluminum,The Hesperides,
"Beauchemin, Micheline",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"240"" H X 180"" W","-122.389979,37.615223",Hooked wool tapestry,                                                      ,
"Bechtle, Robert",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"46"" H X 69"" W Framed","-122.389979,37.615223",Oil on canvas,San Francisco Nova,
"Beery, Jonathan",Gift to the city from the Friends of Moscone Park and Recreation Center,,"-122.433025,37.80136",Bronze,Leatherback Sea Turtle,
"Beery, Jonathan",Gift to the City from the Friends of Moscone Park and Recreation Center,,"-122.433025,37.80136",bronze,The Pink Short-spined Starfish,
"Beldner, Ray",Commissioned by the San Francisco Art Commission for San Francisco Municipal Railway. Collection of the City and County of San Francisco,"16 'H (max.) X 8 ' W (max.) X 4 1/2 "" D","-122.510037,37.7732589",Stainless steel mesh over steel armature with photo-etched plaques.,Playland Revisited,"La Playa St
"
"Berlandina, Jane",Commissioned for Coit Tower,9' X 34',"-122.4058194,37.8023686",Egg tempura,Home Life,
"Berlant, Tony",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"168"" H X 506"" W","-122.389979,37.615223",Found metal collage on wood with steel brads,Dancing on the Brink of the World,
